sequence,phase,logical_evidence_time_utc,filesystem_birth_utc,filesystem_mtime_utc,archive_path,description,timestamp_fidelity
1,1,2026-09-04T12:11:04.583543938Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/environment_variable_names.txt,Sorted environment-variable names only; values intentionally omitted to avoid credential leakage.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
2,1,2026-09-04T12:11:04.583543938Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/system_survey.txt,"Initial verbatim OS, identity, process-tree, mount, isolation, limits, and environment-name survey.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
3,2,2026-09-04T12:11:20.477149742Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/resource_detail.txt,"Detailed current-cgroup limits, memory statistics, process security state, filesystems, and kernel knobs.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
4,3,2026-09-04T12:11:21Z (order known; exact original file birth lost on snapshot restore),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/tool_inventory.py,Python driver that probed installed command paths and versions.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
5,3,2026-09-04T12:11:21Z (order known; exact original file birth lost on snapshot restore),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/tool_inventory.tsv,Machine-readable tool availability/version output produced by tool_inventory.py.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
6,4,2026-09-04T12:11Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/pip_list.json,Complete pip distribution list in JSON at the initial characterization time.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
7,4,2026-09-04T12:11Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/pip_list_stderr.txt,Captured stderr from pip-list generation; empty indicates no stderr.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
8,4,2026-09-04T12:11Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/runtime_packages.txt,"Python implementation, selected import/package versions, pip configuration locations, and npm global packages.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
9,5,2026-09-04T12:12:06.937042370Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/filesystem_survey.txt,"Filesystem capacities, inodes, mount metadata, read-only checks, and write/read/delete test transcript.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
10,6,2026-09-04T12:12:32.344273914Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/network_config_ping.txt,"Proxy-state, resolver, interfaces/routes, unprivileged ping failures, and plain-HTTP captive-portal checks.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
11,6,2026-09-04T12:12:32Z (parallel probe group),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/dns_getaddrinfo.tsv,Per-attempt system resolver timing and returned addresses for required hosts.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
12,6,2026-09-04T12:12:32Z (parallel probe group),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/dns_udp.tsv,Per-attempt direct UDP DNS timing/results against 8.8.8.8.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
13,6,2026-09-04T12:12:32Z (parallel probe group),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/network_socket_tests.py,"Python driver for getaddrinfo, direct UDP DNS, and TCP port probes.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
14,6,2026-09-04T12:12:32Z (parallel probe group),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/tcp_ports.tsv,Per-attempt direct TCP-connect matrix for required endpoints and representative ports.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
15,7,2026-09-04T12:13:02.080782593Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/sudo_ping_ipv6.txt,Root ICMP latency/loss results and failed IPv6 connectivity probes.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
16,7,2026-09-04T12:13:02Z (parallel probe group),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/curl_latency.tsv,"Three-run curl timing matrix for Google, GitHub, PyPI, Hugging Face, and 8.8.8.8 DoH.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
17,7,2026-09-04T12:13:02Z (parallel probe group),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/curl_latency_errors.txt,Captured curl-latency stderr; empty indicates no errors in that probe.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
18,8,2026-09-04T12:13Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/large_download_errors.txt,Captured stderr from large-download tests; empty indicates no stderr.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
19,8,2026-09-04T12:13Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/large_download_notes.txt,Object-selection and integrity/type validation notes for large downloads.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
20,8,2026-09-04T12:13Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/large_downloads.tsv,"Measured large-object download sizes, timings, speeds, redirects, hashes, and curl status.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
21,9,2026-09-04T12:14Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/google_download_retry.tsv,"Successful 5,000,000-byte Google Chrome package range-download timing after the first object returned 403.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
22,9,2026-09-04T12:14Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/google_download_retry_error.txt,Captured stderr from the successful Google retry; empty indicates no stderr.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
23,9,2026-09-04T12:14Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/google_download_retry_headers.txt,Selected raw HTTP headers proving the successful Google byte-range response.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
24,10,2026-09-04T12:14Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/install_compile_notes.txt,Raw outputs from pip/npm/native compilation and verification tests.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
25,10,2026-09-04T12:14Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/install_compile_results.json,Structured timings and statuses from pip/npm/native compilation tests.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
26,10,2026-09-04T12:14Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/install_compile_tests.py,"Driver for isolated venv/pip, local npm, GCC, Make, and binary verification tests.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
27,11,2026-09-04T12:14Z (order known; exact original time unavailable),2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,Agent 9 edge/payload/home/user/envchar_work/apt_install_notes.txt,Raw apt source configuration and apt operation transcript.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
28,11,2026-09-04T12:14Z (order known; exact original time unavailable),2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,Agent 9 edge/payload/home/user/envchar_work/apt_install_results.json,Structured timings/statuses for apt update/install/verify/purge operations.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
29,11,2026-09-04T12:14Z (order known; exact original time unavailable),2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,Agent 9 edge/payload/home/user/envchar_work/apt_install_test.py,"Driver for apt update, real tree-package install/verification, purge, and cleanup check.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
30,12,2026-09-04T12:15:37Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/microbenchmark_notes.txt,"Benchmark timestamp, affinity, load, file allocation, and maximum-RSS notes.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
31,12,2026-09-04T12:15:37Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/microbenchmark_results.json,Structured timings/rates from the initial CPU and disk micro-benchmarks.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
32,12,2026-09-04T12:15:37Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/microbenchmarks.py,"Driver for CPU, NumPy, buffered disk, cache-advised disk, and direct-I/O benchmarks.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
