sequence,phase,archive_path,source_path,source_rel,description,size_bytes,sha256,mime_guess,filesystem_birth_utc,filesystem_mtime_utc,filesystem_ctime_utc,logical_evidence_time_utc,timestamp_fidelity
1,1,Agent 9 edge/payload/home/user/envchar_work/environment_variable_names.txt,/home/user/envchar_work/environment_variable_names.txt,envchar_work/environment_variable_names.txt,Sorted environment-variable names only; values intentionally omitted to avoid credential leakage.,107,2c6e893c347a3256ec6770e9c4811e8150ddb7f0de2eae7764da3b5bea7b51e8,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:11:04.583543938Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
2,1,Agent 9 edge/payload/home/user/envchar_work/system_survey.txt,/home/user/envchar_work/system_survey.txt,envchar_work/system_survey.txt,"Initial verbatim OS, identity, process-tree, mount, isolation, limits, and environment-name survey.",93595,54c0b9d90566919021097223039f03691f7f3c490ccd2cf89e72df06848a94d9,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:11:04.583543938Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
3,2,Agent 9 edge/payload/home/user/envchar_work/resource_detail.txt,/home/user/envchar_work/resource_detail.txt,envchar_work/resource_detail.txt,"Detailed current-cgroup limits, memory statistics, process security state, filesystems, and kernel knobs.",8380,2369c3ce246c6abe9ae5851025d4f3db782c05607d1c465eaf39eb9a81c93d17,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:11:20.477149742Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
4,3,Agent 9 edge/payload/home/user/envchar_work/tool_inventory.py,/home/user/envchar_work/tool_inventory.py,envchar_work/tool_inventory.py,Python driver that probed installed command paths and versions.,3187,bbb15932ca34310d4ba0b322cfbf52ba83ef4c2b0aa0f3c9f6ea9ddc2b964bfb,text/x-python,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:11:21Z (order known; exact original file birth lost on snapshot restore),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
5,3,Agent 9 edge/payload/home/user/envchar_work/tool_inventory.tsv,/home/user/envchar_work/tool_inventory.tsv,envchar_work/tool_inventory.tsv,Machine-readable tool availability/version output produced by tool_inventory.py.,2601,e712c6c29f176c1a5c061379e8594bc223721e69402dec5f7a8f2bb126fa838f,text/tab-separated-values,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:11:21Z (order known; exact original file birth lost on snapshot restore),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
6,4,Agent 9 edge/payload/home/user/envchar_work/pip_list.json,/home/user/envchar_work/pip_list.json,envchar_work/pip_list.json,Complete pip distribution list in JSON at the initial characterization time.,7867,0ce0b35c30add2fe978e4ff829c7c86ec911ee11a677784e0d9acfa639311d6a,application/json,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:11Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
7,4,Agent 9 edge/payload/home/user/envchar_work/pip_list_stderr.txt,/home/user/envchar_work/pip_list_stderr.txt,envchar_work/pip_list_stderr.txt,Captured stderr from pip-list generation; empty indicates no stderr.,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:11Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
8,4,Agent 9 edge/payload/home/user/envchar_work/runtime_packages.txt,/home/user/envchar_work/runtime_packages.txt,envchar_work/runtime_packages.txt,"Python implementation, selected import/package versions, pip configuration locations, and npm global packages.",2712,c50889455586ed83289edb496bce579b506ca77fbb158a26abece257a05ec333,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:11Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
9,5,Agent 9 edge/payload/home/user/envchar_work/filesystem_survey.txt,/home/user/envchar_work/filesystem_survey.txt,envchar_work/filesystem_survey.txt,"Filesystem capacities, inodes, mount metadata, read-only checks, and write/read/delete test transcript.",4189,aaf220409d0a24b082ee3375f5aa0168b0e4a5ce7a4c84933b3bee17365f14f4,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:12:06.937042370Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
10,6,Agent 9 edge/payload/home/user/envchar_work/network_config_ping.txt,/home/user/envchar_work/network_config_ping.txt,envchar_work/network_config_ping.txt,"Proxy-state, resolver, interfaces/routes, unprivileged ping failures, and plain-HTTP captive-portal checks.",2274,89ae5e8e0c09e4adbf1fbcb5b93b39b5749f59dcdbee9aaa00eac6d70087a6a4,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:12:32.344273914Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
11,6,Agent 9 edge/payload/home/user/envchar_work/dns_getaddrinfo.tsv,/home/user/envchar_work/dns_getaddrinfo.tsv,envchar_work/dns_getaddrinfo.tsv,Per-attempt system resolver timing and returned addresses for required hosts.,3987,190aa282a15501ed8a8daa7df4f7961aa4f5b2b2f0cbadb48ebb2c5249b0f42d,text/tab-separated-values,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:12:32Z (parallel probe group),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
12,6,Agent 9 edge/payload/home/user/envchar_work/dns_udp.tsv,/home/user/envchar_work/dns_udp.tsv,envchar_work/dns_udp.tsv,Per-attempt direct UDP DNS timing/results against 8.8.8.8.,224,efda3e8976ac84583bde3cd03be28a924f597bd7953b572aed48bf959f8f42cd,text/tab-separated-values,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:12:32Z (parallel probe group),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
